,material_id,elasticity.K_VRH predicted,elasticity.K_VRH
376,mp-697133,20.132895238095212,3.0
221,mp-15639,39.327014285714284,3.0
926,mp-571124,20.590554761904773,4.0
998,mp-2739,65.62620000000005,5.0
434,mp-9385,34.65824166666669,5.0
153,mp-2639,24.167701190476212,5.0
721,mp-557259,27.325210119047604,5.0
530,mp-20066,35.8681007172566,5.0
842,mp-555056,18.007389682539685,6.0
878,mp-22975,13.108614285714298,6.0
255,mp-614603,13.139778571428574,7.0
975,mp-976261,24.620690476190486,7.0
26,mp-29398,11.887454761904714,7.0
834,mp-989590,42.40078809523809,7.0
967,mp-3142,48.27310436507932,8.0
533,mp-569360,16.364158333333336,8.0
756,mp-568333,14.033569047619045,8.0
488,mp-56,11.833740476190457,8.0
866,mp-641923,12.467483333333329,8.0
1106,mp-573051,61.484093650793675,8.0
606,mp-127,10.960442857142851,8.0
32,mp-779689,16.881759523809517,8.0
114,mp-540957,10.513036111111091,8.0
104,mp-27544,13.701271428571415,9.0
548,mp-571555,17.23944761904762,9.0
278,mp-865534,26.57845436507935,9.0
806,mp-23866,29.222398809523835,9.0
440,mvc-3453,18.93225,9.0
267,mp-676518,44.24083831168829,10.0
192,mp-557397,30.906659523809523,10.0
894,mp-977011,25.839875,10.0
1112,mp-30227,11.781634523809517,10.0
649,mp-29379,19.797752380952364,10.0
442,mp-975882,28.426759523809565,11.0
531,mp-9872,21.053661904761906,11.0
754,mp-28145,11.757121428571427,11.0
388,mp-23304,12.044434523809528,11.0
1007,mp-22691,15.125167857142847,11.0
917,mp-139,12.810105952380946,11.0
920,mp-23038,17.018669047619053,11.0
455,mp-27421,34.89073452380949,12.0
1098,mp-8249,25.368323809523826,12.0
856,mp-23021,13.928976190476167,12.0
818,mp-1025185,18.640164285714306,12.0
336,mp-6560,22.587317857142843,12.0
297,mp-30206,28.85982976190476,13.0
501,mp-8799,18.22208214285714,13.0
1056,mp-976181,26.687057142857128,13.0
642,mp-600089,15.427157142857142,13.0
513,mp-22870,19.53862976190475,13.0
401,mp-473,34.39807301587302,13.0
810,mp-973446,35.09048333333334,13.0
1101,mp-29057,24.52090606060603,13.0
848,mp-975028,10.805495238095238,14.0
34,mp-570256,13.813170238095243,14.0
1129,mp-1063005,13.93134642857144,14.0
450,mp-560959,67.02687619047616,14.0
407,mp-634676,23.603763888888874,14.0
630,mp-10173,13.93134642857144,14.0
188,mp-570935,22.08789761904761,15.0
676,mp-504729,22.600282142857147,15.0
130,mp-982981,39.19007936507935,15.0
822,mp-9636,39.54097261904763,15.0
773,mp-571461,17.930802380952358,15.0
