"Copper, Cu; Annealed","['Copper, Cu', '100 %', '100 %', '']","['Tensile Strength, Ultimate', '210 MPa', '30500 psi', '']","['Tensile Strength, Yield', '33.3 MPa', '4830 psi', '']","['Elongation at Break', '60 %', '60 %', '']"
"Copper, Cu; Annealed",['Descriptive Properties'],"['Tensile Strength, Ultimate', '210 MPa', '30500 psi', '']","['Tensile Strength, Yield', '33.3 MPa', '4830 psi', '']","['Elongation at Break', '60 %', '60 %', '']"
"Copper, Cu; Cold Drawn","['Copper, Cu', '100 %', '100 %', '']","['Tensile Strength, Ultimate', '344 MPa', '49900 psi', '']","['Tensile Strength, Yield', '333.4 MPa', '48360 psi', '']","['Elongation at Break', '14 %', '14 %', '']"
"Copper, Cu; Cold Drawn",['Descriptive Properties'],"['Tensile Strength, Ultimate', '344 MPa', '49900 psi', '']","['Tensile Strength, Yield', '333.4 MPa', '48360 psi', '']","['Elongation at Break', '14 %', '14 %', '']"
Overview of materials for Copper Alloy,"['Al2O3', '0.150 - 1.10 %', '0.150 - 1.10 %', 'Average value: 0.410 % Grade Count:42']","['Tensile Strength, Ultimate', '0.250 - 1590 MPa', '36.3 - 231000 psi', 'Average value: 511 MPa Grade Count:2500']","['Tensile Strength, Yield', '0.250 - 1520 MPa', '36.3 - 220000 psi', 'Average value: 382 MPa Grade Count:2240']","['Elongation at Break', '0.000 - 75.0 %', '0.000 - 75.0 %', 'Average value: 22.7 % Grade Count:2423']"
Overview of materials for Copper Alloy,"['Aluminum, Al', '0.00500 - 99.3 %', '0.00500 - 99.3 %', 'Average value: 6.22 % Grade Count:278']","['Tensile Strength, Ultimate', '0.250 - 1590 MPa', '36.3 - 231000 psi', 'Average value: 511 MPa Grade Count:2500']","['Tensile Strength, Yield', '0.250 - 1520 MPa', '36.3 - 220000 psi', 'Average value: 382 MPa Grade Count:2240']","['Elongation at Break', '0.000 - 75.0 %', '0.000 - 75.0 %', 'Average value: 22.7 % Grade Count:2423']"
Overview of materials for Copper Alloy,"['Antimony, Sb', '0.000700 - 2.00 %', '0.000700 - 2.00 %', 'Average value: 0.125 % Grade Count:149']","['Tensile Strength, Ultimate', '0.250 - 1590 MPa', '36.3 - 231000 psi', 'Average value: 511 MPa Grade Count:2500']","['Tensile Strength, Yield', '0.250 - 1520 MPa', '36.3 - 220000 psi', 'Average value: 382 MPa Grade Count:2240']","['Elongation at Break', '0.000 - 75.0 %', '0.000 - 75.0 %', 'Average value: 22.7 % Grade Count:2423']"
Overview of materials for Copper Alloy,"['Arsenic, As', '0.000700 - 1.00 %', '0.000700 - 1.00 %', 'Average value: 0.0359 % Grade Count:118']","['Tensile Strength, Ultimate', '0.250 - 1590 MPa', '36.3 - 231000 psi', 'Average value: 511 MPa Grade Count:2500']","['Tensile Strength, Yield', '0.250 - 1520 MPa', '36.3 - 220000 psi', 'Average value: 382 MPa Grade Count:2240']","['Elongation at Break', '0.000 - 75.0 %', '0.000 - 75.0 %', 'Average value: 22.7 % Grade Count:2423']"
Overview of materials for Copper Alloy,"['Beryllium, Be', '0.0200 - 10.5 %', '0.0200 - 10.5 %', 'Average value: 1.49 % Grade Count:397']","['Tensile Strength, Ultimate', '0.250 - 1590 MPa', '36.3 - 231000 psi', 'Average value: 511 MPa Grade Count:2500']","['Tensile Strength, Yield', '0.250 - 1520 MPa', '36.3 - 220000 psi', 'Average value: 382 MPa Grade Count:2240']","['Elongation at Break', '0.000 - 75.0 %', '0.000 - 75.0 %', 'Average value: 22.7 % Grade Count:2423']"
Overview of materials for Copper Alloy,"['Bismuth, Bi', '0.00300 - 2.20 %', '0.00300 - 2.20 %', 'Average value: 0.0516 % Grade Count:78']","['Tensile Strength, Ultimate', '0.250 - 1590 MPa', '36.3 - 231000 psi', 'Average value: 511 MPa Grade Count:2500']","['Tensile Strength, Yield', '0.250 - 1520 MPa', '36.3 - 220000 psi', 'Average value: 382 MPa Grade Count:2240']","['Elongation at Break', '0.000 - 75.0 %', '0.000 - 75.0 %', 'Average value: 22.7 % Grade Count:2423']"
