,,Aluminum 5456-H24,"['Aluminum, Al', '91.9 - 94.8 %', '91.9 - 94.8 %', 'As remainder']","['Tensile Strength, Ultimate', '370 MPa', '53700 psi', '']","['Tensile Strength, Yield', '280 MPa', '40600 psi', '']","['Elongation at Break', '13 %', '13 %', 'In 5 cm']"
,,Aluminum 5456-H24,"['Chromium, Cr', '0.05 - 0.20 %', '0.05 - 0.20 %', '']","['Tensile Strength, Ultimate', '370 MPa', '53700 psi', '']","['Tensile Strength, Yield', '280 MPa', '40600 psi', '']","['Elongation at Break', '13 %', '13 %', 'In 5 cm']"
,,Aluminum 5456-H24,"['Copper, Cu', '<= 0.10 %', '<= 0.10 %', '']","['Tensile Strength, Ultimate', '370 MPa', '53700 psi', '']","['Tensile Strength, Yield', '280 MPa', '40600 psi', '']","['Elongation at Break', '13 %', '13 %', 'In 5 cm']"
,,Aluminum 5456-H24,"['Iron, Fe', '<= 0.40 %', '<= 0.40 %', '']","['Tensile Strength, Ultimate', '370 MPa', '53700 psi', '']","['Tensile Strength, Yield', '280 MPa', '40600 psi', '']","['Elongation at Break', '13 %', '13 %', 'In 5 cm']"
,,Aluminum 5456-H24,"['Magnesium, Mg', '4.7 - 5.5 %', '4.7 - 5.5 %', '']","['Tensile Strength, Ultimate', '370 MPa', '53700 psi', '']","['Tensile Strength, Yield', '280 MPa', '40600 psi', '']","['Elongation at Break', '13 %', '13 %', 'In 5 cm']"
,,Aluminum 5456-H24,"['Manganese, Mn', '0.50 - 1.0 %', '0.50 - 1.0 %', '']","['Tensile Strength, Ultimate', '370 MPa', '53700 psi', '']","['Tensile Strength, Yield', '280 MPa', '40600 psi', '']","['Elongation at Break', '13 %', '13 %', 'In 5 cm']"
,,Aluminum 5456-H24,"['Other, each', '<= 0.05 %', '<= 0.05 %', '']","['Tensile Strength, Ultimate', '370 MPa', '53700 psi', '']","['Tensile Strength, Yield', '280 MPa', '40600 psi', '']","['Elongation at Break', '13 %', '13 %', 'In 5 cm']"
,,Aluminum 5456-H24,"['Other, total', '<= 0.15 %', '<= 0.15 %', '']","['Tensile Strength, Ultimate', '370 MPa', '53700 psi', '']","['Tensile Strength, Yield', '280 MPa', '40600 psi', '']","['Elongation at Break', '13 %', '13 %', 'In 5 cm']"
,,Aluminum 5456-H24,"['Silicon, Si', '<= 0.25 %', '<= 0.25 %', '']","['Tensile Strength, Ultimate', '370 MPa', '53700 psi', '']","['Tensile Strength, Yield', '280 MPa', '40600 psi', '']","['Elongation at Break', '13 %', '13 %', 'In 5 cm']"
,,Aluminum 5456-H24,"['Titanium, Ti', '<= 0.20 %', '<= 0.20 %', '']","['Tensile Strength, Ultimate', '370 MPa', '53700 psi', '']","['Tensile Strength, Yield', '280 MPa', '40600 psi', '']","['Elongation at Break', '13 %', '13 %', 'In 5 cm']"
