,,Carlson C 600 Nickel-Chromium-Iron Alloy,"['Carbon, C', '<= 0.15 %', '<= 0.15 %', '']","['Tensile Strength, Yield', '>= 241 MPa@Strain 0.200 %', '>= 35000 psi@Strain 0.200 %', '']","['Elongation at Break', '>= 30 %', '>= 30 %', '']","['Component Elements Properties', 'Metric', 'English', 'Comments']"
,,Carlson C 600 Nickel-Chromium-Iron Alloy,"['Chromium, Cr', '14 - 17 %', '14 - 17 %', '']","['Tensile Strength, Yield', '>= 241 MPa@Strain 0.200 %', '>= 35000 psi@Strain 0.200 %', '']","['Elongation at Break', '>= 30 %', '>= 30 %', '']","['Component Elements Properties', 'Metric', 'English', 'Comments']"
,,Carlson C 600 Nickel-Chromium-Iron Alloy,"['Copper, Cu', '<= 0.50 %', '<= 0.50 %', '']","['Tensile Strength, Yield', '>= 241 MPa@Strain 0.200 %', '>= 35000 psi@Strain 0.200 %', '']","['Elongation at Break', '>= 30 %', '>= 30 %', '']","['Component Elements Properties', 'Metric', 'English', 'Comments']"
,,Carlson C 600 Nickel-Chromium-Iron Alloy,"['Iron, Fe', '6.0 - 10 %', '6.0 - 10 %', '']","['Tensile Strength, Yield', '>= 241 MPa@Strain 0.200 %', '>= 35000 psi@Strain 0.200 %', '']","['Elongation at Break', '>= 30 %', '>= 30 %', '']","['Component Elements Properties', 'Metric', 'English', 'Comments']"
,,Carlson C 600 Nickel-Chromium-Iron Alloy,"['Manganese, Mn', '<= 1.0 %', '<= 1.0 %', '']","['Tensile Strength, Yield', '>= 241 MPa@Strain 0.200 %', '>= 35000 psi@Strain 0.200 %', '']","['Elongation at Break', '>= 30 %', '>= 30 %', '']","['Component Elements Properties', 'Metric', 'English', 'Comments']"
,,Carlson C 600 Nickel-Chromium-Iron Alloy,"['Nickel, Ni', '>= 72 %', '>= 72 %', '']","['Tensile Strength, Yield', '>= 241 MPa@Strain 0.200 %', '>= 35000 psi@Strain 0.200 %', '']","['Elongation at Break', '>= 30 %', '>= 30 %', '']","['Component Elements Properties', 'Metric', 'English', 'Comments']"
,,Carlson C 600 Nickel-Chromium-Iron Alloy,"['Silicon, Si', '<= 0.50 %', '<= 0.50 %', '']","['Tensile Strength, Yield', '>= 241 MPa@Strain 0.200 %', '>= 35000 psi@Strain 0.200 %', '']","['Elongation at Break', '>= 30 %', '>= 30 %', '']","['Component Elements Properties', 'Metric', 'English', 'Comments']"
,,Carlson C 600 Nickel-Chromium-Iron Alloy,"['Sulfur, S', '<= 0.015 %', '<= 0.015 %', '']","['Tensile Strength, Yield', '>= 241 MPa@Strain 0.200 %', '>= 35000 psi@Strain 0.200 %', '']","['Elongation at Break', '>= 30 %', '>= 30 %', '']","['Component Elements Properties', 'Metric', 'English', 'Comments']"
,,Carlson C 600ESR Nickel-Chromium-Iron Alloy,"['Carbon, C', '<= 0.15 %', '<= 0.15 %', '']","['Tensile Strength, Yield', '>= 241 MPa@Strain 0.200 %', '>= 35000 psi@Strain 0.200 %', '']","['Elongation at Break', '>= 30 %', '>= 30 %', '']","['Component Elements Properties', 'Metric', 'English', 'Comments']"
,,Carlson C 600ESR Nickel-Chromium-Iron Alloy,"['Chromium, Cr', '14 - 17 %', '14 - 17 %', '']","['Tensile Strength, Yield', '>= 241 MPa@Strain 0.200 %', '>= 35000 psi@Strain 0.200 %', '']","['Elongation at Break', '>= 30 %', '>= 30 %', '']","['Component Elements Properties', 'Metric', 'English', 'Comments']"
